Goldfish Swim School,,,,,,,,,,,,,,,,,,,,,,,,,,,
Demographic Summary by Mile Ring,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Children 9 Years and Under (with Household Incomes Greater than $100K and All Children),,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned Locations,,,,,,,,,,,,,,,,,,,,,,,,,,,
Existing/Planned U.S. Locations,DMA,<1 Mile Kids > $100K,<1 Mile All Kids,<2 Miles Kids > $100K,<2 Miles All Kids,<3 Miles Kids > $100K,<3 Miles All Kids,<4 Miles Kids > $100K,<4 Miles All Kids,<5 Miles Kids > $100K,<5 Miles All Kids,<6 Miles Kids > $100K,<6 Miles All Kids,<7 Miles Kids > $100K,<7 Miles All Kids,<8 Miles Kids > $100K,<8 Miles All Kids,<9 Miles Kids > $100K,<9 Miles All Kids,<10 Miles Kids > $100K,<10 Miles All Kids,15 Minutes Kids > $100K,15 Minutes All Kids,20 Minutes Kids > $100K,20 Minutes All Kids,25 Minutes Kids > $100K,25 Minutes All Kids
"Ann Arbor, MI",Detroit MI,690,"1,956","1,665","5,444","2,842","8,895","3,985","12,004","5,296","15,607","6,288","18,643","7,365","22,251","8,217","24,904","8,833","27,357","9,733","30,813","6,835","20,529","9,970","32,623","16,339","50,772"
"Arlington Heights, IL",Chicago IL,681,"1,518","2,962","7,524","6,120","16,886","9,793","26,921","13,863","38,811","16,488","45,109","21,062","55,685","27,330","71,742","33,108","86,730","38,913","100,665","20,954","56,523","37,447","98,948","62,121","167,336"
"Ashburn, VA",Washington DC (Hagerstown MD),"1,723","2,598","5,694","8,852","9,610","14,439","13,919","22,301","17,798","28,777","22,743","37,386","28,292","48,274","36,760","61,064","43,887","71,601","48,283","79,054","30,782","52,411","49,782","82,660","66,180","109,783"
"Bethlehem, PA",Philadelphia PA,302,"1,063","1,066","3,827","2,147","7,704","2,977","12,007","3,700","15,337","4,897","20,465","6,593","29,811","8,713","42,489","10,393","50,376","11,755","54,955","5,641","26,403","10,640","49,150","14,930","63,295"
"Birmingham, MI",Detroit MI,706,"1,807","2,392","6,682","4,537","12,119","7,341","19,559","10,367","28,854","13,868","41,475","17,139","56,479","20,126","72,314","23,634","92,350","27,691","117,377","11,023","30,730","19,564","73,460","31,675","153,078"
"Braintree, MA",Boston MA (Manchester NH),367,772,"1,252","3,050","3,583","10,209","6,452","18,439","9,353","27,132","13,155","39,414","17,429","54,105","23,210","74,636","31,392","98,337","39,415","119,602","13,168","40,035","33,172","98,595","64,011","182,817"
"Brookfield, WI",Milwaukee WI,82,254,843,"3,034","2,365","9,287","4,872","19,008","7,236","32,128","9,402","46,406","11,605","65,507","14,206","83,144","19,326","105,400","23,301","121,725","11,995","62,813","21,250","117,365","32,206","152,679"
"Brookline, MA",Boston MA (Manchester NH),"2,770","7,125","7,480","23,899","16,011","47,621","30,014","84,088","41,886","114,363","50,646","138,200","60,695","166,205","68,253","186,185","73,581","199,793","78,659","211,129","31,950","88,190","54,405","145,128","73,047","195,987"
"Burlington, MA",Boston MA (Manchester NH),278,642,"1,142","2,232","3,259","6,401","5,319","10,624","8,310","16,284","12,637","24,707","17,170","34,022","22,413","45,354","31,922","68,015","42,462","93,093","9,200","18,860","25,619","58,301","58,712","134,932"
"Burr Ridge, IL",Chicago IL,236,495,"1,215","3,080","3,840","9,093","6,443","15,378","9,192","21,935","12,694","32,111","16,808","46,527","22,066","63,886","29,135","87,978","39,407","122,642","15,516","43,570","36,630","115,616","75,266","265,176"
