"Store","age","enrollment","DMA","one.100","one","two.100","two","three.100","three","four.100","four","five.100","five","six.100","six","seven.100","seven","eight.100","eight","nine.100","nine","ten.100","ten"
"Winter Park","1","321","Orlando-Daytona Beach-Melbourne FL","430","1657","1381","5274","2561","10813","4635","19174","6737","29634","9490","43982","12419","58623","15271","76068","18801","94254","22369","114784"
"Glen Ellyn","2","610","Chicago IL","715","1593","2860","6638","5072","12673","8066","21064","11590","31133","16058","44302","22857","61347","29660","78131","36591","96429","43974","116257"
"Rockland","1","798","Boston MA (Manchester NH)","62","225","541","1481","1808","5306","3261","8833","5032","13082","7544","19737","10264","27793","13505","38989","16838","50172","20166","58296"
"Elmhurst","6","929","Chicago IL","636","1401","1863","5011","4392","13907","7509","25925","10246","38045","12924","48933","18598","69624","28872","99930","42466","142398","55618","194063"
"West Chester","10","944","Cincinnati OH","309","1087","1274","3220","2706","6556","4970","11772","7446","17969","9467","23402","11777","31487","14090","39262","16393","49325","19385","61899"
"Owings Mills","13","957","Baltimore MD","345","1033","1351","4580","2563","7960","4386","12422","5626","15360","7029","20018","9401","27084","11898","34879","15009","45495","19197","58139"
"Dayton","16","846","Dayton OH","206","851","785","3195","1891","7335","3514","13330","5132","19336","6396","24366","7624","29449","8509","35459","9516","42064","10550","49330"
"Johns Creek","6","1255","Atlanta GA","457","834","1747","3701","4209","9466","7886","16564","11736","24572","15719","35325","20710","50608","26966","70569","33217","92239","40053","117698"
"Garden City","13","1611","New York NY","559","944","3805","9990","9626","22798","17215","37394","27809","57161","38064","79937","50920","106529","64290","135652","76799","164301","89238","198712"
"Fairview Park","18","1210","Cleveland-Akron (Canton) OH","317","1402","938","4640","2225","9309","3888","17848","5675","27206","7458","37038","9251","47164","11702","60459","13697","70267","15580","77459"
"Burlington","15","1433","Boston MA (Manchester NH)","278","642","1142","2232","3259","6401","5319","10624","8310","16284","12637","24707","17170","34022","22413","45354","31922","68015","42462","93093"
"Clarkston","26","1060","Detroit MI","205","601","609","1773","1427","4250","2463","7147","3358","10320","4325","14979","5569","20172","7358","27509","9462","34910","11407","39825"
"Evanston","26","1369","Chicago IL","1343","3716","5165","13886","9473","29964","13695","44956","18562","61625","26922","90987","37910","121293","51127","161322","63786","203838","75056","241421"
"Fishers","30","1318","Indianapolis IN","746","1266","2602","4486","3792","6949","5801","11760","7474","16895","9585","22857","10660","26401","11895","31971","13668","38207","16107","47924"
"Mundelein","25","1431","Chicago IL","384","1332","2311","6007","4102","8873","5600","11267","6740","13160","8731","16608","12609","25202","17731","38648","23901","52971","29715","68985"
"Columbia","21","2171","Baltimore MD","580","1120","2199","4184","5699","11710","9365","19037","13219","26111","18444","37021","22353","45026","26420","54318","31046","65095","35999","77895"
"Burr Ridge","34","1296","Chicago IL","236","495","1215","3080","3840","9093","6443","15378","9192","21935","12694","32111","16808","46527","22066","63886","29135","87978","39407","122642"
"Plainfield","20","1493","Chicago IL","475","1014","1949","3568","4205","7774","6063","12259","9079","19091","13432","29178","19382","43135","23559","56553","28883","73585","34857","94811"
"Westford","18","1455","Boston MA (Manchester NH)","100","163","447","673","1393","2283","2562","4383","3616","6292","5159","9231","7508","14764","10538","23045","13791","32605","16624","39122"
"Canton","25","1506","Detroit MI","645","1650","2248","5851","4378","11123","5654","15229","7179","22313","8385","29410","10227","38217","12771","48986","14731","58261","17464","69049"
"Okemos","55","1408","Lansing MI","139","510","701","2186","1344","4181","1864","6126","2293","8172","2809","11238","3568","15306","4278","20987","4960","26038","5764","31315"
"Macomb","39","1417","Detroit MI","475","1447","1820","6599","3869","13088","5680","20403","7374","27765","9523","37654","11628","46977","13955","58482","16859","70307","19917","82375"
"Carmel","51","1808","Indianapolis IN","285","880","1358","3827","3058","7526","5410","13359","8404","20695","11543","30490","14775","41212","18632","52611","21797","63898","25364","78760"
"Wicker Park","5","1393","Chicago IL","3097","8362","12143","30871","30256","81289","44594","132217","55002","180473","66940","238190","77859","289348","86897","336817","94884","378042","101574","412244"
"Westerville","15","1706","Columbus OH","262","1386","1331","6751","3271","15159","5350","24595","9000","36039","13049","49181","16716","60225","19462","71806","22539","82494","27296","97912"
"Naperville","47","1603","Chicago IL","509","1266","2514","6199","4738","11189","8943","19038","13606","29989","19702","45234","25821","61356","31926","79666","38094","96224","45050","113019"
"Grand Rapids","60","1611","Grand Rapids-Kalamazoo-Battle Creek MI","167","396","636","1235","1145","2656","1876","4775","2913","8172","3998","12289","5702","18971","7356","28972","8966","40785","10332","50533"
"Braintree","18","1596","Boston MA (Manchester NH)","367","772","1252","3050","3583","10209","6452","18439","9353","27132","13155","39414","17429","54105","23210","74636","31392","98337","39415","119602"
"Needham","25","1695","Boston MA (Manchester NH)","453","869","2920","4706","6137","10297","10442","19152","17821","38189","26829","62288","34671","87729","49062","123427","61765","152820","70466","172805"
