"Store","age","enrollment","DMA","fift.100","fift","twen.100","twen","tfiv.100","tfiv"
"Winter Park","1","321","Orlando-Daytona Beach-Melbourne FL","7240","35482","15523","77965","25621","132705"
"Glen Ellyn","2","610","Chicago IL","17413","49031","37356","103241","67388","193246"
"Rockland","1","798","Boston MA (Manchester NH)","6085","15631","13466","36133","29048","82907"
"Elmhurst","6","929","Chicago IL","16179","58591","49914","173111","104865","361586"
"West Chester","10","944","Cincinnati OH","10101","31115","19994","76206","31589","131420"
"Owings Mills","13","957","Baltimore MD","5096","15107","9842","32061","20712","67361"
"Dayton","16","846","Dayton OH","6737","25567","10741","49609","15356","77824"
"Johns Creek","6","1255","Atlanta GA","17917","42747","35650","103313","64948","191806"
"Garden City","13","1611","New York NY","32169","65989","67324","141494","112222","277519"
"Fairview Park","18","1210","Cleveland-Akron (Canton) OH","6319","32751","12750","69247","19959","105172"
"Burlington","15","1433","Boston MA (Manchester NH)","9200","18860","25619","58301","58712","134932"
"Clarkston","26","1060","Detroit MI","5042","20322","13089","42532","25309","76758"
"Evanston","26","1369","Chicago IL","21029","67518","42312","137380","82836","248278"
"Fishers","30","1318","Indianapolis IN","10094","25823","15218","48717","21818","83047"
"Mundelein","25","1431","Chicago IL","12552","26744","27178","61110","44756","106625"
"Columbia","21","2171","Baltimore MD","18394","36987","37197","88072","60988","171393"
"Burr Ridge","34","1296","Chicago IL","15516","43570","36630","115616","75266","265176"
"Plainfield","20","1493","Chicago IL","20580","46380","35166","93810","51730","142484"
"Westford","18","1455","Boston MA (Manchester NH)","7620","19153","14753","36277","30266","78444"
"Canton","25","1506","Detroit MI","9939","38072","19753","77943","36183","151986"
"Okemos","55","1408","Lansing MI","2613","9603","4729","22923","7635","39731"
"Macomb","39","1417","Detroit MI","13686","54233","22828","89006","31410","132809"
"Carmel","51","1808","Indianapolis IN","10070","27324","19064","60189","29206","107032"
"Wicker Park","5","1393","Chicago IL","58886","201461","90132","339504","120240","479662"
"Westerville","15","1706","Columbus OH","14327","55151","27781","105703","43003","163245"
"Naperville","47","1603","Chicago IL","18851","42140","34284","85572","53957","135093"
"Grand Rapids","60","1611","Grand Rapids-Kalamazoo-Battle Creek MI","4850","17530","11030","57486","15550","78672"
"Braintree","18","1596","Boston MA (Manchester NH)","13168","40035","33172","98595","64011","182817"
"Needham","25","1695","Boston MA (Manchester NH)","16878","34768","35640","84079","69800","170478"
"Rochester","63","1982","Detroit MI","8836","24305","17855","56474","30762","104162"
"Reston","32","2136","Washington DC (Hagerstown MD)","23212","39773","57712","96229","90981","152920"
"Wexford","32","2434","Pittsburgh PA","4830","10798","9348","22911","12479","38353"
"Ann Arbor","71","2312","Detroit MI","6835","20529","9970","32623","16339","50772"
"Dublin","40","2579","Columbus OH","12764","33590","27536","94511","40491","153610"
"Birmingham","136","2463","Detroit MI","11023","30730","19564","73460","31675","153078"
